t1Dragons,t2Dragons,t1Rift,t2Rift,t1TopTowerTaken,t1MidTowerTaken,t1BotTowerTaken,t2TopTowerTaken,t2MidTowerTaken,t2BotTowerTaken,topGoldDiff,jugGoldDiff,midGoldDiff,adcGoldDiff,supGoldDiff,gameLength,winningTeam,t1Top,t1Jug,t1Mid,t1Adc,t1Sup,t2Top,t2Jug,t2Mid,t2Adc,t2Sup
0,2,0,1,0,1,0,0,0,0,592,57,-26,-623,-977,1790,200,Riven,Kayn,Yone,Xayah,Leona,Mordekaiser,MasterYi,Yasuo,Tristana,Annie
1,1,0,1,0,0,2,0,0,0,433,-947,-2232,1429,-1963,1899,100,Darius,LeeSin,Azir,Vayne,Nautilus,Nasus,Viego,Katarina,Lucian,Senna
0,1,0,0,0,0,0,1,0,0,2287,3016,-5,-1659,-805,1339,100,Tryndamere,Viego,Ahri,Swain,Maokai,Aatrox,Rengar,Veigar,KogMaw,Nami
1,0,0,0,1,0,0,0,0,0,-4800,-132,858,138,-125,1479,200,Quinn,Graves,Akali,Kaisa,Ornn,Aatrox,Rumble,Viktor,Aphelios,Lulu
0,2,1,0,0,0,0,0,0,1,267,635,339,2023,426,2128,200,Gangplank,Trundle,Lucian,MissFortune,Karma,Teemo,Khazix,Ahri,Vayne,Leona
0,2,1,0,0,0,0,0,0,0,693,416,-444,141,-1983,1882,100,Illaoi,Viego,Viktor,Draven,Alistar,Aatrox,Hecarim,Veigar,Varus,Nautilus
2,0,0,0,0,0,0,0,0,0,-250,-248,1300,-235,-167,2656,100,Tryndamere,Zed,Warwick,MissFortune,Morgana,Ornn,Karthus,Ekko,Ezreal,Nami
2,0,0,1,0,0,0,0,0,0,1156,-431,2387,-764,365,1665,100,Teemo,Hecarim,Katarina,Ezreal,Pyke,Corki,Viego,Sett,Vayne,Rell
0,0,0,0,0,0,1,0,0,0,-514,406,-371,-1335,-670,1624,200,Tryndamere,Evelynn,Viktor,Jinx,Senna,Jax,Shaco,Akali,Sivir,Zyra
0,1,1,0,0,0,1,0,0,0,-200,868,1754,-2751,-1999,1526,100,Graves,Khazix,Irelia,Jinx,Lulu,Jayce,Kayn,Leblanc,Ezreal,Seraphine
1,1,1,0,0,0,0,0,0,0,1792,-73,2986,184,360,1316,100,Akali,Nocturne,Anivia,Ashe,Leona,Garen,Viego,Varus,Caitlyn,Blitzcrank
0,1,1,0,0,1,0,0,0,1,-2618,434,-361,2114,-63,2087,100,Kayle,Evelynn,Katarina,Vayne,Pantheon,Gangplank,Lillia,Neeko,Jhin,Senna
1,1,0,1,1,1,2,0,0,0,-3478,-3038,-3176,-1203,-1024,1220,200,Nasus,Nocturne,Syndra,Vayne,Nautilus,Tryndamere,Skarner,Draven,Veigar,Blitzcrank
0,1,0,1,1,2,1,0,0,0,-2718,-719,-2428,-2766,-1957,1301,200,Kled,Nocturne,Qiyana,Cassiopeia,Nami,Jayce,Hecarim,Syndra,Jhin,Lux
1,0,0,1,1,0,0,0,0,0,-893,2914,231,-666,-822,1638,100,Jayce,Kayn,Annie,Kaisa,Nautilus,Chogath,Qiyana,Malzahar,Jhin,Xerath
1,1,0,1,0,0,0,0,0,0,-1352,448,1475,1681,440,1849,100,Teemo,Volibear,Lux,Tristana,Soraka,Fiora,MasterYi,Viktor,Jhin,Sona
0,1,1,0,1,1,0,0,0,0,-2005,614,-1593,91,1459,1699,200,Urgot,Rengar,Katarina,Draven,Thresh,Illaoi,Nidalee,Yasuo,Jinx,Nautilus
0,2,0,1,0,0,1,0,0,0,-945,-1938,677,-770,-2375,1403,200,Malphite,Kayn,Lissandra,Caitlyn,Soraka,Teemo,Graves,Sion,Zeri,Senna
0,1,1,0,0,0,0,0,1,0,-689,-328,2485,-1376,1235,1631,200,Nasus,Gwen,Mordekaiser,Jhin,Anivia,Sylas,Trundle,Irelia,Samira,Sona
0,2,1,0,0,0,0,1,0,0,2925,1392,-491,-178,-716,2344,200,Sett,FiddleSticks,Vex,Jinx,Blitzcrank,Ornn,Viego,Heimerdinger,Ziggs,Lux
1,0,0,1,1,0,0,0,0,0,-1956,1323,28,-1115,652,2015,100,Ornn,LeeSin,Katarina,Aphelios,Morgana,Jax,Hecarim,Teemo,Draven,Alistar
1,1,0,0,0,0,1,0,0,0,1273,474,593,-2886,-1389,2344,100,Ornn,Viego,Veigar,Jhin,Nami,Camille,Zac,Viktor,Vayne,Zyra
1,1,0,1,0,3,1,0,0,0,159,-91,-2565,-2972,586,1839,200,Sylas,Karthus,Pantheon,Aphelios,Senna,DrMundo,Diana,Yone,Zeri,Thresh
1,0,0,1,1,0,0,0,0,0,-1559,636,838,-967,-75,2036,200,Garen,MasterYi,Veigar,Samira,Nautilus,Yone,Karthus,Katarina,Kaisa,Blitzcrank
0,1,0,1,0,0,0,0,0,0,1405,1369,-1683,-372,-1171,1843,100,Gangplank,Lillia,Yone,Vayne,Nautilus,Sett,Zac,Kayle,Ashe,Blitzcrank
1,0,0,1,0,0,0,1,0,2,2161,-774,-919,3472,1073,1661,100,Riven,Diana,Zoe,Jinx,Thresh,Singed,LeeSin,Azir,MissFortune,Morgana
1,0,0,1,0,0,0,0,0,0,1103,1596,-483,231,195,1469,100,Gwen,Ekko,Yasuo,Jhin,TahmKench,Aatrox,XinZhao,Ahri,Varus,Thresh
0,2,1,0,0,0,1,1,0,0,-681,-591,1288,-1988,-100,1348,200,Garen,Viego,Katarina,Vayne,Bard,Volibear,Warwick,Lissandra,Jinx,Nautilus
0,1,0,0,1,0,0,0,0,0,-3842,121,278,-892,-793,1780,200,Jax,Diana,Malzahar,Caitlyn,Malphite,Gangplank,Yone,Velkoz,Ezreal,Brand
0,1,1,0,0,0,0,1,0,0,429,-2091,1885,-1012,217,1859,200,Kayle,Amumu,Azir,Kaisa,Xerath,Aatrox,Hecarim,Vladimir,KogMaw,Yuumi
1,0,1,0,0,0,1,0,1,0,2249,1327,1001,-1274,679,1377,100,Corki,Hecarim,Kayle,Ashe,Pyke,Quinn,Zac,Zilean,Zeri,Blitzcrank
0,2,0,1,0,1,0,0,0,0,1510,-390,-841,-399,-609,1741,200,Veigar,Kayn,Kayle,Ezreal,Soraka,Garen,Poppy,Ryze,MissFortune,Lux
1,1,1,0,0,0,0,0,1,0,678,688,1020,864,668,1435,100,Jayce,DrMundo,Singed,Twitch,Rakan,Kassadin,Rengar,Malphite,Jinx,Lulu
0,1,1,0,0,0,0,1,0,1,2931,655,183,1868,1215,1432,100,Mordekaiser,Diana,Malphite,Jinx,Zyra,Renekton,Kindred,Katarina,Vayne,TahmKench
0,2,0,1,1,1,0,0,0,0,-1331,-1528,-1595,613,-927,1383,200,Camille,Khazix,Kaisa,Jinx,Nami,Sett,Nunu,Anivia,Ezreal,Lux
1,1,0,0,0,0,0,1,0,0,2867,905,-54,-1488,1169,1887,100,Darius,Nocturne,Yone,Lucian,Pyke,Fiora,Kayn,Brand,Tristana,Lux
1,0,1,0,0,0,0,1,0,0,604,2411,-46,217,671,2413,100,Yorick,RekSai,Zed,Jhin,Karma,Ekko,Rammus,Akali,MissFortune,Morgana
0,2,1,0,0,0,1,0,0,0,2789,392,-5,-1651,117,2174,200,Jax,Nocturne,Ekko,Samira,Thresh,Fiora,MasterYi,Leblanc,Tristana,Lulu
1,1,1,0,0,0,0,0,0,1,-979,291,-968,2557,1317,1791,200,Shen,Rengar,Ekko,Jinx,Galio,Garen,Kaisa,Yasuo,Jhin,Karma
0,2,0,1,0,0,0,0,0,0,-1085,-18,-28,470,-1931,1712,200,Shen,Kindred,Veigar,Samira,Zac,Malzahar,Darius,Trundle,Senna,Seraphine
0,1,0,1,0,1,0,0,0,0,-216,-1586,604,108,-13,1883,200,Akshan,Zac,Jayce,Kaisa,Lulu,Darius,Volibear,Ahri,Varus,Ashe
2,0,1,0,0,0,0,3,1,1,5253,1591,296,2141,-25,1343,100,Tryndamere,MasterYi,Anivia,Zeri,Lulu,Quinn,Sejuani,Diana,Vayne,Lux
2,0,1,0,0,0,0,1,0,1,1155,1233,1216,3492,2203,1776,100,Teemo,Hecarim,Leblanc,Vayne,Blitzcrank,Garen,Viego,Lux,Jinx,Leona
2,0,1,0,0,0,0,1,0,0,1604,2025,-1667,-1655,-806,1625,100,Darius,MasterYi,Karma,MissFortune,Nautilus,Chogath,Zed,Varus,Twitch,Pyke
0,1,1,0,0,0,0,0,0,0,1433,-27,495,-1832,-504,1782,200,Cassiopeia,Khazix,Ziggs,Jinx,Lulu,Anivia,Kayn,Sylas,Vayne,Nautilus
1,0,0,1,0,0,0,0,0,0,-1975,230,555,1451,372,1720,100,Malphite,Graves,Vex,Jinx,Morgana,Sett,Shaco,Sylas,Annie,Bard
1,1,1,0,0,0,0,0,1,0,-2,1480,1872,894,80,1797,100,Teemo,Udyr,Sylas,MissFortune,Zilean,Aatrox,Lillia,Irelia,Jinx,Lux
1,0,1,0,1,0,0,0,0,0,-2238,498,314,-1854,-516,1348,200,Galio,FiddleSticks,Veigar,Twitch,Ashe,Nasus,Shaco,Lux,Kaisa,Pantheon
2,0,1,0,0,0,0,0,1,0,-325,1496,1787,372,724,1596,100,Ashe,Volibear,Lissandra,MissFortune,Lux,Mordekaiser,Kayn,Kassadin,Ezreal,Morgana
1,0,0,0,0,0,0,0,0,0,-598,156,2201,-2936,-664,1738,200,Chogath,Sejuani,Akali,Vayne,Thresh,Fiora,Volibear,Azir,Lucian,Karma
1,1,0,1,0,0,0,0,0,1,-604,-456,704,1653,1781,2414,200,Singed,Zac,Nautilus,Ezreal,Brand,Mordekaiser,Sejuani,Ziggs,Caitlyn,Janna
2,0,0,1,1,0,1,0,0,0,-1814,394,1500,-2558,-1159,1774,100,Mordekaiser,Graves,Zed,Veigar,Thresh,Yorick,Nocturne,Ekko,Zeri,Morgana
2,0,1,0,0,0,0,0,1,1,2214,907,1690,848,658,1113,100,Yone,MasterYi,Shaco,Jhin,Blitzcrank,Sion,Graves,Kaisa,Samira,Nami
0,2,0,1,0,0,1,1,0,0,2317,-1237,1765,-1068,-1627,2205,200,Nasus,Hecarim,Yasuo,Ashe,Lulu,Malphite,MasterYi,Ahri,Vayne,Soraka
2,0,0,1,0,0,0,0,1,1,1369,48,3389,213,1575,1690,100,Mordekaiser,Darius,Akshan,Brand,Senna,Vayne,LeeSin,Fizz,Ashe,Renata
2,0,0,1,1,0,0,0,0,1,987,952,-906,3115,-469,1218,100,Yasuo,Vi,Karthus,Vayne,Leona,Yorick,Nunu,Singed,Zeri,Morgana
2,0,0,1,0,1,0,0,0,1,-1974,280,122,462,226,1526,100,Camille,Hecarim,Vex,Jinx,Braum,Tryndamere,FiddleSticks,Vladimir,Samira,Nautilus
0,2,0,1,1,0,0,0,0,0,-2123,934,-548,-1037,152,1666,100,Jax,Warwick,Pyke,Ziggs,Lux,Sett,Trundle,Yasuo,Jinx,Alistar
0,1,1,0,0,0,0,0,1,0,-1148,258,1130,201,275,1829,100,Fiora,Amumu,Vex,Lucian,Rakan,Yorick,Hecarim,Akali,Aphelios,Lulu
2,0,1,0,0,0,0,1,0,0,583,849,999,1305,1646,1268,100,Illaoi,Nunu,Akshan,Jhin,Velkoz,Sett,LeeSin,Leblanc,Jinx,Soraka
0,1,1,0,1,0,0,1,1,0,-185,2452,630,-906,217,1790,200,Yorick,Nocturne,Galio,Kaisa,Shen,Sett,Twitch,Singed,Vayne,Leona
1,1,0,0,0,0,0,0,0,0,-1168,-1166,-747,-2065,-809,1304,200,Irelia,Hecarim,Lux,Jhin,Seraphine,Ornn,Zac,Yasuo,Ezreal,Nami
2,0,1,0,0,0,0,0,0,0,136,-22,2139,262,383,1577,100,Trundle,JarvanIV,Karma,Kaisa,Rakan,Sett,Taliyah,Caitlyn,Qiyana,Swain
1,1,0,0,0,0,0,0,0,0,65,-581,1447,-1647,1618,1956,200,Jayce,Hecarim,Zed,Nami,Caitlyn,Tryndamere,Diana,Anivia,Samira,Leona
1,1,0,0,1,0,0,0,0,0,-2061,1435,-304,349,351,1695,100,Darius,Graves,Corki,Ezreal,Lux,Sion,Zac,Leblanc,Kaisa,Lulu
0,1,0,1,0,0,0,0,0,1,277,-530,-853,432,434,1693,100,Volibear,Viego,Lux,Lucian,Bard,Irelia,XinZhao,Katarina,Kaisa,Ashe
1,1,0,0,1,0,0,0,0,0,-1836,1095,-2600,-5,-65,1721,200,Yasuo,Graves,Katarina,Kaisa,Janna,Yorick,Vi,Neeko,MissFortune,Rell
1,0,0,1,0,0,0,0,0,0,-1320,-103,872,1695,1217,1751,100,Malzahar,Volibear,Akshan,Jhin,Lux,Urgot,Viego,Irelia,TahmKench,Soraka
0,2,0,0,0,0,1,0,0,0,327,833,-2586,-3023,-973,1708,200,Malphite,Zac,Annie,Draven,Pyke,Jax,Skarner,Vex,Tristana,Blitzcrank
1,0,0,1,0,0,0,0,0,0,-1265,1708,116,1001,1070,1874,200,Jax,Khazix,Ahri,Jinx,Thresh,MonkeyKing,Rammus,Qiyana,Lucian,Yuumi
1,0,0,1,1,0,0,0,0,1,746,1395,-801,1697,908,1216,100,Vayne,Jax,Akali,MissFortune,Zilean,Garen,Nunu,Akshan,Jhin,Lulu
1,1,1,0,0,0,0,1,0,0,2276,-1611,-1952,-5,-455,2555,100,Chogath,MonkeyKing,Singed,KogMaw,Lulu,Ornn,Trundle,Velkoz,Ezreal,Yuumi
1,1,1,0,0,0,0,1,0,0,2285,-496,-634,-702,-1492,1555,200,Aatrox,Nunu,Vex,Jinx,Shen,Volibear,MasterYi,TwistedFate,Draven,Lux
1,0,0,1,1,2,0,0,0,0,36,-1110,-2265,-1525,-210,1468,200,DrMundo,Yuumi,Katarina,Lucian,Zac,Karthus,Mordekaiser,Chogath,Jinx,Nautilus
2,0,1,0,0,0,1,0,0,1,-319,875,1635,-1633,-23,2034,100,Graves,XinZhao,Neeko,Vayne,Karma,Renekton,MasterYi,Viktor,Lucian,Nami
1,0,0,1,0,0,0,0,0,0,-996,-1473,-2082,729,1943,1999,100,Malphite,Ivern,Veigar,Lucian,Brand,Nasus,Amumu,Lux,Jinx,Lulu
0,2,0,1,0,2,1,0,0,0,917,-636,-5967,-1087,-1173,1738,200,Akali,Diana,Tristana,Seraphine,Gangplank,Zac,Zed,Vayne,Zyra,
0,2,1,0,0,0,0,1,0,0,1583,250,1867,2281,3014,2223,100,Viego,Nocturne,Morgana,Jhin,Senna,Garen,Warwick,Zilean,Jinx,Nami
1,0,1,0,0,0,1,1,0,0,1518,1392,620,-1383,-1507,1831,100,Irelia,Kayn,Zoe,Ezreal,Senna,Kayle,Zed,Leblanc,Vayne,Renata
1,0,0,1,0,1,0,0,0,0,-701,-2278,1826,-1438,-691,2270,200,Udyr,Ekko,Graves,Caitlyn,Nami,Sion,Evelynn,Zed,Jhin,Leona
1,1,1,0,0,0,0,0,2,0,1989,-876,381,-1553,-399,1669,200,Darius,Graves,Ahri,Varus,Brand,Garen,Hecarim,TwistedFate,Ezreal,Nautilus
1,0,1,0,0,0,0,0,0,1,1190,849,1891,781,1393,1207,100,Kled,Shaco,Galio,Jinx,Blitzcrank,Illaoi,LeeSin,Viktor,Vayne,Thresh
2,0,1,0,0,0,0,0,0,0,-971,-336,784,-608,1584,1563,100,Viego,Nunu,Sylas,Vayne,Xerath,Malphite,Hecarim,Renekton,Jinx,Morgana
1,0,1,0,0,0,0,2,0,0,2732,-219,1458,-324,-1008,1521,100,Tryndamere,Kaisa,Leblanc,Nautilus,Senna,Yone,Kayn,Viktor,Vayne,Yuumi
2,0,1,0,0,0,0,0,0,0,-1224,-284,1228,941,1060,1806,100,TahmKench,Kayn,Yone,Ezreal,Morgana,Fiora,Hecarim,Ekko,Ashe,Lux
1,1,0,0,0,0,0,1,0,0,2484,-234,-912,720,267,1526,200,DrMundo,Diana,Veigar,Draven,Lulu,Nasus,Sejuani,Gragas,Jinx,Janna
0,2,0,1,0,0,0,0,0,0,2338,-983,1723,143,-2118,2180,200,Akshan,LeeSin,Velkoz,Aphelios,Leona,Singed,RekSai,Pyke,Jinx,Zyra
0,1,1,0,0,0,0,0,0,0,663,1091,634,-253,339,1601,100,Malphite,Viego,Veigar,Varus,Lux,Singed,Khazix,Fizz,Ashe,Soraka
1,0,0,0,0,0,0,0,0,0,-1132,1246,20,900,292,1774,200,Garen,Diana,Katarina,Jhin,Soraka,Yone,Nocturne,Sylas,Ezreal,Sona
1,1,0,1,0,0,0,0,0,1,1384,-1345,-1555,1754,913,1999,100,Jax,Viktor,Viego,Sivir,Renata,Darius,Diana,Yasuo,Ashe,Sona
1,1,0,1,0,0,0,0,0,0,-324,525,-573,486,1125,1698,200,Vladimir,XinZhao,Qiyana,Tristana,Rakan,Irelia,Trundle,Lissandra,Ashe,Blitzcrank
1,1,0,1,0,0,0,0,0,0,722,-163,179,1185,309,1927,200,Tryndamere,Vi,Akali,Sivir,Lulu,Illaoi,MasterYi,Veigar,Kaisa,Karma
1,0,1,0,0,0,0,0,0,0,-617,-429,-329,-470,-1254,2460,200,Garen,Amumu,Akali,Jhin,Nami,Urgot,Lillia,Yone,Twitch,Senna
0,2,1,0,1,0,0,0,1,0,-3131,1935,-6,-404,88,1405,100,Singed,Vi,Yasuo,Zeri,Nautilus,Darius,Nocturne,Leblanc,Aphelios,Lulu
2,0,1,0,0,0,0,1,0,0,1764,136,-1167,2591,73,1681,200,Yasuo,MasterYi,Nunu,Vayne,Brand,Rengar,Nocturne,Viktor,Ziggs,Sona
1,0,1,0,0,0,0,1,0,0,3725,-938,-217,-1010,-602,1930,100,Sett,Kindred,Ekko,Caitlyn,TwistedFate,Mordekaiser,Hecarim,Vex,Jinx,Karma
0,1,0,1,0,1,0,0,0,0,477,1369,1588,1322,712,1636,100,Camille,Shaco,Pyke,Lucian,Seraphine,Teemo,Nunu,Ekko,Caitlyn,Lulu
0,1,1,0,0,0,0,0,1,1,-1306,1332,-377,3462,1426,974,100,Teemo,Khazix,Sylas,Jinx,Thresh,Darius,Hecarim,Gangplank,Twitch,Lulu
0,1,0,1,0,0,0,0,0,0,-438,985,-2077,5,-682,2106,100,Sion,Hecarim,Singed,Caitlyn,Karma,Graves,Shyvana,Viktor,Ezreal,Braum
