t1Dragons,t2Dragons,t1Rift,t2Rift,t1TopTowerTaken,t1MidTowerTaken,t1BotTowerTaken,t2TopTowerTaken,t2MidTowerTaken,t2BotTowerTaken,topGoldDiff,jugGoldDiff,midGoldDiff,adcGoldDiff,supGoldDiff,gameLength,winningTeam,t1Top,t1Jug,t1Mid,t1Adc,t1Sup,t2Top,t2Jug,t2Mid,t2Adc,t2Sup
0,1,0,0,0,0,0,0,0,0,-805,-26,-1655,-885,622,2360,100,Teemo,Zac,Yone,Caitlyn,Swain,Riven,LeeSin,Corki,Lucian,Nami
0,1,1,0,0,0,0,0,0,0,300,236,-341,-1560,348,1795,200,Mordekaiser,Khazix,Katarina,Vayne,Senna,Gangplank,LeeSin,Vladimir,Samira,Renata
1,0,1,0,0,0,0,1,1,0,1366,1040,1090,1744,-74,1363,100,Sett,MasterYi,Ahri,Jhin,Morgana,Jax,Hecarim,Corki,Vayne,Swain
0,0,0,0,0,0,0,1,0,0,1472,73,-878,751,-348,1785,100,Fiora,Ryze,Viktor,Vayne,Zyra,Shen,Kindred,Fizz,Jinx,Bard
0,1,0,1,0,2,1,0,0,0,-177,-1991,-1315,-1370,-3390,1258,200,MonkeyKing,Evelynn,Veigar,Caitlyn,Zilean,MasterYi,Khazix,Malzahar,Kaisa,Xerath
1,0,0,1,0,0,0,0,1,0,-1211,-1775,2512,279,450,1828,100,Teemo,Kayn,Yone,Caitlyn,Lux,Sett,Tryndamere,Fizz,Jhin,Nami
1,0,1,0,0,0,0,1,0,0,2579,-1401,3119,662,654,996,100,Darius,Taliyah,Irelia,Twitch,Lulu,Garen,LeeSin,Veigar,Zeri,Blitzcrank
1,0,0,1,1,0,0,0,0,0,-2198,-710,-649,2216,747,1769,100,Volibear,Viego,Malzahar,Samira,Zac,Graves,Zed,Anivia,Veigar,Sona
0,2,0,0,0,0,0,1,0,0,3739,1313,-1215,1115,405,2021,200,Sett,Graves,Kaisa,Lucian,Blitzcrank,Garen,MasterYi,Jayce,Sivir,Leona
1,1,0,1,1,0,0,0,0,0,-1474,34,-516,757,-1009,2018,100,Nasus,Jax,Graves,Caitlyn,Lux,Malphite,Kayn,Pyke,Twitch,Seraphine
1,0,0,0,0,0,0,0,0,0,677,148,-1844,466,226,1477,100,Camille,XinZhao,Ahri,Zeri,Lux,Riven,Hecarim,Akshan,Sivir,Yuumi
1,0,0,1,1,0,0,0,0,1,2495,17,69,2695,629,1209,100,Irelia,RekSai,Ahri,MissFortune,Nautilus,Fiora,Viego,Diana,Samira,Swain
1,1,0,1,0,0,0,0,0,0,-104,1078,634,-484,-892,1612,100,Camille,Vi,Akshan,Tristana,Karthus,Quinn,Volibear,Gangplank,Jinx,Neeko
1,0,1,0,0,0,0,1,1,1,2656,705,3028,692,2194,1349,100,Akali,JarvanIV,Kassadin,Jhin,Zyra,Jax,Talon,Ahri,Zeri,Pyke
0,2,1,0,0,0,0,0,1,0,-536,-1217,1159,-140,-231,1675,200,Teemo,Shaco,Yone,MissFortune,Lulu,Vladimir,Diana,Graves,Twitch,Janna
0,0,0,1,1,0,0,0,0,0,-529,1293,-21,-11,153,1525,100,Mordekaiser,Graves,Akshan,Ezreal,Lulu,Fiora,Viego,Samira,Caitlyn,Karma
1,0,0,1,0,0,0,0,0,0,-1674,-51,909,-1232,259,1756,200,Kassadin,Quinn,Kled,MissFortune,Lux,Sion,Viego,Pyke,Kaisa,Maokai
1,1,0,1,1,0,0,0,0,0,855,-4192,-201,-793,631,1985,100,Yone,Vi,Zilean,Draven,Vex,Sylas,Diana,Katarina,Vayne,Pyke
1,1,0,1,2,0,0,0,0,0,-755,-2876,-2024,426,1829,2266,200,Jax,Hecarim,Kassadin,Jinx,Pyke,Sett,Viego,Ahri,Caitlyn,Maokai
1,0,0,0,0,0,0,0,0,0,1061,-1630,277,35,51,2594,100,Sion,Diana,Corki,Ashe,Lux,Aatrox,Hecarim,Ahri,Jhin,Zilean
1,1,0,1,0,0,1,0,0,0,1556,541,-885,-1132,-2046,2314,100,Yorick,XinZhao,Kaisa,Lucian,Nami,Nasus,Shyvana,Viktor,Ezreal,Karma
1,1,1,0,0,0,0,0,1,0,436,-402,2193,1739,1182,1548,100,Irelia,Hecarim,Vex,Jinx,Lux,Gnar,Warwick,Fizz,Kaisa,Soraka
2,0,0,0,0,0,0,1,0,0,3113,-473,894,-1603,-152,1712,200,Pantheon,Ekko,Syndra,Caitlyn,Senna,Fiora,Rammus,Ahri,MissFortune,Karma
2,0,0,1,0,0,0,0,0,0,-47,604,626,924,333,2259,100,Aatrox,Hecarim,Corki,MissFortune,Soraka,Jayce,Mordekaiser,Jhin,Veigar,Seraphine
0,2,0,1,1,1,1,0,0,0,-1613,-2589,-456,-1488,-1415,1039,200,Darius,Nidalee,Senna,Caitlyn,Pyke,Irelia,Khazix,Veigar,Kaisa,Alistar
0,1,1,0,0,0,0,1,1,0,1505,999,777,1219,208,1970,200,Sett,Olaf,Annie,Vayne,Blitzcrank,Kayle,Amumu,Diana,MissFortune,Alistar
1,0,1,0,0,0,0,0,2,1,-882,1465,2042,3155,2184,1653,100,Renekton,LeeSin,Zoe,Zeri,Senna,Darius,Riven,Leblanc,Lucian,Ashe
2,0,1,0,0,0,0,0,0,1,-2085,591,1392,-199,613,1735,100,Nasus,Ekko,Lux,Sivir,Senna,Chogath,Kayn,Kaisa,Zeri,Janna
0,2,1,0,0,1,0,0,0,0,36,-1150,-3037,-166,844,1569,200,Chogath,JarvanIV,Ryze,Ezreal,Lux,Sion,XinZhao,Veigar,Jhin,Thresh
2,0,0,0,0,0,0,0,0,0,991,413,1692,100,1727,1595,100,Camille,Rammus,Anivia,Ezreal,Lux,Graves,Ekko,Katarina,Kaisa,Pyke
1,1,0,0,1,0,0,0,0,0,-3505,-785,-940,-1162,187,990,200,Yorick,MasterYi,Ahri,Vayne,Morgana,Aatrox,Nidalee,Viktor,Jhin,Karma
1,0,1,0,0,0,0,1,0,0,531,931,-545,-1032,-367,2427,200,TahmKench,Kayn,Sylas,Jinx,Soraka,Yone,Hecarim,Alistar,Jhin,Lux
1,1,0,1,1,1,0,0,0,0,-2516,-1353,-2373,1168,464,1532,200,Shen,LeeSin,Akali,Samira,Blitzcrank,Gwen,Viego,Talon,Vayne,Alistar
1,1,1,0,0,0,0,0,0,0,-204,-221,639,2395,264,1229,100,Ryze,Ivern,Vayne,Jinx,Nautilus,Qiyana,Kindred,Malzahar,Kaisa,Karma
1,1,0,0,0,0,0,0,0,0,-543,-247,-1043,-510,-877,1795,200,Fiora,Diana,Kaisa,Jhin,Nautilus,Garen,Rammus,Viktor,Ezreal,FiddleSticks
1,0,1,0,0,0,0,0,0,1,593,399,-1049,2944,-647,2102,100,Darius,Shaco,Lissandra,Ezreal,Veigar,Akali,Volibear,Yasuo,Zeri,Yuumi
1,1,0,1,0,0,0,0,0,0,1608,-1084,-1824,1753,-1323,2050,200,Shen,Kindred,Vladimir,Sivir,Brand,Nasus,Volibear,Garen,Jhin,Zyra
2,0,0,1,0,0,1,0,0,0,867,-1985,1535,-565,620,1594,100,Teemo,Udyr,Syndra,Zeri,Renata,Singed,Kindred,Jayce,Veigar,Blitzcrank
1,0,1,0,0,0,0,0,1,0,872,952,2070,-137,-772,2112,200,Kayle,Viego,Graves,Jinx,Shaco,Nasus,Ekko,Talon,Xayah,Xerath
1,0,0,0,0,1,0,0,0,0,1340,-179,-1864,1705,850,1759,200,Sion,Volibear,Talon,Kaisa,Janna,Mordekaiser,Zac,Yone,Tristana,Lulu
1,0,0,1,1,0,0,0,0,0,-2619,198,1221,62,417,1826,100,Irelia,Volibear,Qiyana,Jhin,Lux,Mordekaiser,Graves,Kassadin,Ezreal,Heimerdinger
0,2,0,1,0,0,1,0,0,0,-1436,1057,-21,-2199,-1027,1293,200,Camille,Warwick,Ahri,MissFortune,Sona,Aatrox,Kindred,Viktor,Lucian,Nami
2,0,1,0,0,0,0,0,0,0,-353,538,2173,-661,-830,2409,100,Zilean,Sejuani,Leblanc,Thresh,Lucian,Malphite,Mordekaiser,Corki,Jhin,Zyra
0,1,1,0,0,0,0,1,0,1,3541,348,326,1533,740,1464,100,Mordekaiser,MonkeyKing,Akali,Jinx,Soraka,Malphite,Karthus,Yasuo,Jayce,Thresh
2,0,1,0,0,0,0,1,2,0,2619,2752,2818,-1419,-141,1737,100,Yorick,Volibear,Viktor,Zeri,Nasus,TahmKench,Chogath,Karma,Jhin,Shaco
1,0,0,1,1,0,0,0,0,1,-1842,-1071,845,1814,1352,2084,100,Jax,Shyvana,Zed,Ezreal,Vex,Garen,Vi,Viktor,Kaisa,Zac
0,1,0,1,1,0,0,1,0,0,1265,216,827,1047,553,1583,100,Illaoi,Kayn,Akali,Samira,Malphite,Poppy,Volibear,Fizz,Xayah,Pyke
0,1,0,1,1,0,0,0,0,0,-1732,-540,-578,-2108,-2590,2053,200,Fiora,Nunu,Syndra,Zeri,Yuumi,Pantheon,Amumu,Vex,Caitlyn,Pyke
1,1,0,0,0,0,0,0,0,0,-1715,677,123,-172,3408,2329,100,Darius,Sejuani,Vladimir,Jhin,Senna,Sett,Volibear,Ryze,Caitlyn,Nami
1,0,0,1,1,0,0,0,0,0,-3050,1399,448,-300,-109,2748,200,Graves,Viego,Corki,Ashe,Vex,Tryndamere,Shaco,Kaisa,Jhin,Renata
0,1,0,1,0,0,0,0,0,0,-136,-2024,-1796,-479,515,1889,200,Nasus,Rammus,Brand,Zeri,Zyra,Riven,Ekko,Zoe,Ashe,MissFortune
0,1,0,1,0,0,0,0,0,0,1347,1016,1466,-707,56,1927,100,Sett,Talon,Viktor,Draven,Soraka,Mordekaiser,Kayn,Veigar,MissFortune,Zyra
1,0,1,0,0,0,0,1,0,0,577,1039,252,526,734,2088,200,Tryndamere,Sejuani,Akali,MissFortune,Morgana,Jayce,MasterYi,Leblanc,Akshan,Soraka
1,0,0,0,0,0,0,0,0,0,-2027,-816,898,-590,-176,2137,200,Sett,Darius,Vayne,Jinx,Zyra,Quinn,Viego,Chogath,MissFortune,Swain
1,0,0,1,1,0,0,0,0,0,-194,-816,-690,1157,1127,1278,100,Garen,Talon,Graves,Varus,Lux,Gwen,MonkeyKing,Yone,Jhin,Xerath
0,0,0,0,0,0,0,0,0,0,-1844,499,1091,-7,1895,2832,200,Urgot,Hecarim,Irelia,Jinx,Lulu,Jax,Twitch,Vex,MissFortune,Brand
0,2,0,1,0,0,0,1,0,0,2583,-600,-592,724,119,1863,100,Vayne,Rammus,Veigar,Tristana,Thresh,Yone,Diana,Orianna,Jinx,Lulu
1,0,0,1,0,0,1,0,0,0,-1572,2415,-779,-883,-801,2098,100,Volibear,Shaco,Vex,Jhin,Maokai,Ashe,Rengar,Veigar,Caitlyn,Lux
0,1,1,0,0,0,0,0,0,0,5,-1239,-1789,-1295,-789,1986,200,Darius,FiddleSticks,Veigar,Xayah,Rakan,Lissandra,Khazix,Orianna,Kaisa,Karma
1,0,0,1,1,1,0,0,0,0,-1957,-1974,-1633,648,-1710,1541,200,Jax,RekSai,Anivia,MissFortune,Yuumi,DrMundo,Warwick,Lissandra,Ashe,Pyke
0,2,0,1,0,0,0,0,0,0,-1577,-2050,1276,-134,802,1619,200,Teemo,Hecarim,Yasuo,Jhin,Nami,Fiora,Udyr,Anivia,Ezreal,Zilean
1,1,0,1,0,0,1,0,0,0,376,-2354,-705,-1407,-1586,1345,200,Garen,Diana,Yasuo,MissFortune,Renata,Malphite,Nunu,Neeko,Jhin,Senna
0,1,1,0,0,0,0,0,1,0,1039,1682,405,-713,-238,1679,100,Ornn,Graves,Ahri,Ezreal,Renata,Camille,Kayn,Viktor,Caitlyn,Zac
2,0,1,0,1,0,0,0,0,2,-1578,-376,1197,2378,1366,2067,100,Gangplank,Udyr,Yasuo,Caitlyn,Thresh,Sett,Talon,Lucian,Ezreal,Yuumi
0,2,0,0,0,0,0,0,0,0,130,1808,365,-640,658,2161,100,Malphite,Shaco,Kayle,Twitch,Lux,Nasus,Nocturne,Syndra,Aphelios,Lulu
0,1,0,0,0,0,1,0,0,0,1611,282,208,-1258,706,1525,200,DrMundo,Evelynn,Ahri,Vayne,Pyke,Sion,Caitlyn,Leblanc,Qiyana,Lux
0,1,1,0,0,0,1,1,0,0,251,-97,-1503,-1888,-1224,1567,200,Singed,Hecarim,Ezreal,Varus,Senna,Gangplank,Sejuani,Vladimir,Vayne,Janna
1,1,0,0,0,0,0,0,0,0,453,-1266,-62,887,868,1803,100,Yorick,LeeSin,Vayne,Ezreal,Nautilus,Volibear,Graves,Katarina,Draven,Lulu
1,0,1,0,0,0,0,0,0,0,-101,1609,1097,3218,1337,1531,100,Teemo,Shaco,Sylas,Ashe,Lux,Irelia,Sejuani,Katarina,Kaisa,Yuumi
0,1,1,0,0,0,0,0,0,0,129,754,295,-575,-298,1356,200,Sett,Warwick,Sylas,Vayne,Soraka,Volibear,Viego,Anivia,Zeri,Karma
1,0,0,1,0,0,0,0,0,0,653,2137,987,351,-876,2129,100,Darius,Graves,Syndra,Jinx,Renata,Garen,Amumu,Zed,Ezreal,Anivia
2,0,0,0,0,0,0,0,1,0,-94,678,1757,1079,-147,1369,100,Rengar,Viego,Ahri,Tristana,Blitzcrank,Akshan,Nocturne,Akali,Ashe,Karma
1,0,1,0,0,0,0,1,0,0,-1031,2935,-531,-314,-568,1851,100,Gangplank,Khazix,Fizz,Samira,Blitzcrank,Aatrox,LeeSin,Viktor,Jhin,Brand
1,1,0,0,0,0,1,0,0,0,-698,-2783,-287,-2536,-928,1494,200,Poppy,MasterYi,Ekko,Kaisa,Sett,Vayne,LeeSin,Zoe,Ashe,Nautilus
1,0,0,0,0,0,0,0,0,0,509,-892,1031,-428,-491,1463,100,Jax,Shaco,Zed,Aphelios,Alistar,Gragas,Ekko,Talon,Xayah,Janna
0,1,0,1,0,0,0,0,0,0,-1309,-555,1331,279,-397,1937,200,Blitzcrank,MasterYi,Ekko,Caitlyn,Bard,Tryndamere,Trundle,Talon,Vayne,Nautilus
0,1,1,0,0,0,0,0,0,0,-329,-1217,-1707,-412,391,1237,200,Yasuo,Trundle,Lissandra,Aphelios,Leona,Teemo,Olaf,Katarina,Vayne,Thresh
1,1,0,1,1,0,0,0,0,0,-2796,-1022,-719,-177,-504,2619,100,Illaoi,Rengar,Xerath,Yasuo,TahmKench,Gangplank,Nunu,Viktor,Twitch,Zyra
1,0,0,1,0,0,1,0,0,0,-640,183,-941,-851,-1071,2068,100,Nasus,Viego,Sylas,Tristana,Nami,Jax,Volibear,Zeri,Yasuo,Blitzcrank
1,0,0,1,0,0,0,0,1,0,1602,-526,262,600,-439,1210,100,Illaoi,Trundle,KogMaw,Vayne,Morgana,Volibear,RekSai,Sylas,Zeri,Bard
0,1,1,0,0,0,0,0,0,0,468,-1324,-768,-1454,-1644,2177,200,Graves,RekSai,Akali,MissFortune,Nami,TahmKench,Kindred,Kassadin,Sivir,Janna
0,2,0,1,0,0,1,0,0,0,-1284,981,1010,-1543,-114,1710,100,Darius,Nocturne,Ahri,Vladimir,Senna,Rengar,Warwick,Anivia,Caitlyn,Morgana
0,1,0,1,0,0,2,0,0,0,-793,-2192,-528,15,820,2232,100,Teemo,Ivern,Talon,Nautilus,Kaisa,Graves,Diana,Vex,Jinx,Lulu
1,1,1,0,0,0,0,0,1,0,-753,455,2311,-702,-1466,2595,200,Camille,Sejuani,Diana,Jhin,Pyke,Nasus,Ekko,Vex,Vayne,Senna
0,1,0,1,1,0,1,0,0,0,-2636,-2168,-1222,-126,-1798,1398,200,Illaoi,Rammus,Kayle,Lucian,Nami,Rengar,Nocturne,Syndra,Caitlyn,Zyra
0,2,1,0,0,0,0,1,1,0,2800,-1272,2384,-1911,-144,2039,100,Camille,Graves,Kennen,Jhin,Tristana,Tryndamere,FiddleSticks,TwistedFate,Senna,Sett
2,0,1,0,0,0,0,0,0,1,1009,1537,-1511,1559,659,1355,100,Gnar,Ekko,Ahri,Tristana,Nautilus,Yone,Talon,Irelia,Jinx,TahmKench
1,1,1,0,1,0,0,0,0,0,-2855,-637,353,1567,317,1956,200,Mordekaiser,MasterYi,Anivia,Vayne,Pyke,Trundle,LeeSin,Veigar,Kaisa,Janna
1,1,0,1,0,0,0,0,0,0,-366,1934,-1239,897,218,2403,200,Nasus,Kayn,Ahri,Samira,Lux,Fiora,DrMundo,Kassadin,Zeri,Morgana
0,1,0,0,0,0,0,0,0,0,450,598,-1231,-709,174,1917,200,Jax,Kayn,Veigar,Kaisa,Karma,Ornn,MasterYi,Ahri,Twitch,Lulu
2,0,0,0,0,0,0,0,0,0,-274,1561,-42,1815,1058,1309,100,Chogath,Ekko,Galio,Caitlyn,Yuumi,Riven,Nocturne,Yone,Zeri,Morgana
1,0,0,1,1,0,0,0,0,0,-2799,1299,-719,93,1524,1923,200,Garen,Nocturne,Leblanc,Veigar,Heimerdinger,Sett,Hecarim,Fizz,Aphelios,Leona
2,0,0,1,0,0,0,0,0,0,-926,731,-1781,226,-709,1728,100,Sion,Shyvana,Lux,Aphelios,Thresh,Aatrox,MasterYi,Gangplank,Jinx,Soraka
1,0,0,1,0,0,1,1,0,0,3449,1282,1639,267,-293,1516,100,Riven,Vi,Zed,Ashe,Sona,Nasus,Nocturne,Brand,Kaisa,Senna
0,1,0,1,0,0,0,0,0,0,1461,-191,-2013,-1769,-1472,2313,100,Urgot,Rammus,Nunu,Ashe,Sona,Volibear,Elise,Zed,Yasuo,Morgana
0,1,0,0,0,0,0,0,0,1,-897,-239,-394,2969,-63,2228,200,Aatrox,Mordekaiser,Sylas,Zeri,Senna,Vladimir,Evelynn,Jayce,Jhin,Seraphine
1,1,0,1,1,0,0,0,0,0,-1615,-844,925,-944,271,1936,100,Illaoi,Rengar,Lux,KogMaw,Sona,Trundle,MasterYi,Katarina,Jinx,Renata
0,2,1,0,0,0,0,0,1,0,1986,2954,650,-68,749,1896,100,Yone,Graves,Lux,Yasuo,Morgana,Tryndamere,Volibear,MasterYi,Jhin,Zilean
1,0,0,1,1,0,0,0,0,0,-1745,-1413,-1928,-1246,1099,1560,200,Tryndamere,LeeSin,Irelia,Tristana,Brand,Sett,Shaco,Teemo,Jinx,Janna
1,0,0,0,1,0,0,0,1,0,-493,1289,908,1188,510,1800,100,Illaoi,Zed,Yone,Ezreal,Alistar,Nasus,Graves,Irelia,MissFortune,Renata
0,1,1,0,0,0,0,0,0,0,803,742,666,-1233,-645,2040,100,Garen,Zac,Ahri,Zeri,Nautilus,Renekton,Amumu,Lux,Lucian,Sona
0,1,0,1,1,0,0,0,0,0,-1175,-1246,-2364,-1993,-1043,1270,200,Nasus,Khazix,Corki,Samira,Nautilus,Sion,Ekko,Ezreal,Zeri,Renata
1,0,0,0,0,0,0,1,0,0,1895,-480,1125,-158,824,1986,100,Jax,Lillia,Sylas,Twitch,Senna,Tryndamere,FiddleSticks,Ahri,Samira,Pyke
0,2,0,1,0,1,0,0,0,0,-1797,-1832,-1979,-319,-561,1524,200,Chogath,Talon,Zed,Zeri,Lulu,Volibear,Graves,Ahri,MissFortune,Seraphine
0,2,0,1,1,0,2,0,0,0,-2890,-436,2866,-2962,-1595,1211,200,Nunu,Hecarim,Irelia,Xayah,Pyke,DrMundo,Viego,Akshan,Sivir,Seraphine
0,1,0,1,0,0,1,0,0,0,2005,64,297,-1056,-1631,2405,200,Yasuo,Hecarim,Viktor,Kaisa,Bard,Camille,Vi,Vladimir,Caitlyn,Morgana
1,1,1,0,0,0,0,0,0,1,377,1283,1049,1099,910,1357,100,Renekton,Zac,Yasuo,Xayah,Thresh,Teemo,Kayn,Akshan,Lucian,Soraka
1,1,0,0,0,0,0,2,1,0,4344,843,1081,-104,-795,1104,100,Garen,Lillia,Lissandra,Ashe,Nami,Jayce,Shaco,Galio,Caitlyn,Lux
1,0,0,0,0,0,0,0,0,0,-2104,658,722,1072,330,1366,200,Irelia,Khazix,Zed,Jhin,Sona,Nasus,Hecarim,Kayle,MissFortune,Senna
1,0,0,1,1,0,0,0,0,0,-2850,0,-870,-316,-1027,1495,200,Teemo,Sejuani,Akali,Tristana,Renata,Yorick,Diana,TwistedFate,MissFortune,Galio
2,0,1,0,0,0,0,1,0,0,1132,412,-217,-775,1000,1884,100,Garen,Zac,Ashe,Yasuo,Swain,Sett,Graves,Viktor,Zeri,Nautilus
0,2,1,0,0,0,0,0,0,0,-1879,26,-411,-281,-898,1900,200,DrMundo,MasterYi,Viktor,Jhin,Sona,Akshan,Zed,Lissandra,Ezreal,Vex
0,1,0,0,0,0,0,0,0,0,355,1436,281,-890,-667,1994,200,Irelia,Kayn,Annie,Aphelios,Karma,Sion,Shaco,Ahri,Caitlyn,Swain
0,2,1,0,0,0,1,1,0,0,682,-1102,110,-3376,-935,916,200,TahmKench,LeeSin,Vex,Jinx,Pyke,Warwick,Viego,Fizz,Zeri,Morgana
1,0,1,0,0,0,0,0,0,0,65,3108,1166,1077,967,1520,100,Garen,Udyr,Azir,Jhin,Leona,Illaoi,Graves,Ekko,Caitlyn,Janna
2,0,0,0,0,0,0,1,0,1,3289,-1273,-466,2012,272,2283,100,Irelia,Sejuani,Akali,Zeri,Soraka,Jayce,Hecarim,Sylas,Kaisa,Brand
1,0,1,0,0,0,0,1,0,0,2117,1787,865,1131,-722,1563,100,Fiora,MasterYi,Ahri,Draven,Blitzcrank,MonkeyKing,Qiyana,Annie,Jhin,Xerath
2,0,1,0,0,0,0,1,0,0,1143,723,-945,1114,2239,2151,100,Yorick,DrMundo,Kaisa,Jhin,Twitch,Chogath,Khazix,Lux,Soraka,Sona
0,1,1,0,0,0,1,0,0,0,-1556,729,1852,-3218,-1189,2389,200,Yorick,Khazix,Tryndamere,Caitlyn,Zyra,TahmKench,Amumu,Xerath,Jinx,Lux
2,0,1,0,0,0,0,0,0,1,302,977,-1053,784,2080,1666,100,Jayce,Ekko,Olaf,Ashe,Senna,Sion,XinZhao,Akali,Kaisa,Braum
2,0,0,0,1,0,0,0,0,1,-1905,-597,-2424,3393,221,1775,100,Singed,Ekko,Vex,Jinx,Rakan,Volibear,Rammus,Katarina,Jhin,Nautilus
0,2,1,0,1,0,1,0,0,0,-1412,-2,-1459,-2792,-2372,932,200,Darius,Karthus,Yasuo,Jhin,Thresh,Nasus,Volibear,Akali,Tristana,Ezreal
2,0,1,0,1,0,0,0,1,1,-291,-778,1401,1178,1046,2076,100,Jax,Volibear,Xerath,Zeri,Senna,Aatrox,LeeSin,Annie,Jinx,Vex
0,2,1,0,0,0,0,0,0,0,-162,-787,-863,-1669,-1268,2750,100,Gnar,Shaco,Neeko,Ezreal,Braum,Ryze,Elise,Corki,Draven,Karma
0,2,0,1,1,0,0,0,0,0,-1362,-2924,-890,862,133,1293,200,Ornn,Gwen,Ryze,Aphelios,Renata,Akali,Viego,Irelia,Seraphine,Heimerdinger
1,0,0,0,0,0,0,0,0,0,-750,-1170,1323,70,836,1882,100,Fiora,Kayn,Akali,KogMaw,Brand,Gwen,XinZhao,Irelia,Jhin,Senna
1,1,1,0,0,0,0,0,0,0,161,364,-882,1265,1275,2013,200,Garen,Nocturne,Sylas,Kaisa,Lux,Urgot,Rammus,Fizz,Xayah,Rakan
0,2,0,1,1,0,3,0,0,0,-3087,-2074,-356,-2879,-3844,1326,200,Kayle,Ekko,Veigar,Zeri,Renata,Tryndamere,Khazix,Sejuani,Xayah,Xerath
1,0,0,1,1,1,0,0,0,0,-1603,-1359,510,-752,-1697,2197,100,Graves,Hecarim,Kayle,Sivir,Lux,Sion,Kindred,Malzahar,Ezreal,Brand
1,0,1,0,0,0,0,0,0,2,-1046,3211,-1920,2250,137,2036,100,Urgot,Warwick,Zoe,Varus,Zyra,Garen,Nunu,Diana,Jhin,Morgana
1,0,0,0,0,0,0,0,0,0,1209,699,-1593,-201,112,2095,100,Camille,Shaco,Orianna,Kaisa,Rakan,Tryndamere,Ekko,Lux,Ezreal,Rell
1,0,1,0,0,0,0,0,1,0,-1135,1124,1069,468,703,1756,200,Volibear,Gwen,Zed,Vayne,Maokai,Fiora,Graves,Akali,Jinx,Nautilus
0,2,0,1,0,1,1,0,0,0,1169,-1773,-1177,-1504,-3371,2306,100,Gangplank,Trundle,Syndra,Jinx,Thresh,Karma,LeeSin,Xerath,Ezreal,Lux
1,1,0,1,0,1,1,1,1,0,643,1872,-2062,-1822,-1525,1388,100,Illaoi,Diana,Yasuo,Tristana,Blitzcrank,Vayne,Shaco,Fizz,Lucian,Leona
0,2,0,0,0,0,0,0,0,0,-1120,-696,-1796,-27,-219,2008,200,Nasus,Volibear,Orianna,Aphelios,Zilean,Trundle,Hecarim,Kaisa,Caitlyn,Shen
2,0,0,1,0,0,0,0,1,0,441,-1035,-10,240,-1,1493,100,Camille,Viego,Ryze,Jinx,Nami,Heimerdinger,Kayn,Gragas,Xayah,Rakan
0,0,0,0,0,0,0,0,0,0,338,707,-1203,1909,1312,1296,100,Riven,Hecarim,Yone,Jhin,Zyra,Nasus,Rammus,Irelia,Zeri,Seraphine
1,0,1,0,0,0,0,2,0,0,3768,-731,647,1500,918,1500,100,Sett,Taliyah,Chogath,Jinx,Morgana,Tryndamere,Hecarim,Annie,Samira,Soraka
0,1,1,0,1,0,0,0,1,0,-1854,2223,-1526,-501,-362,1908,100,Mordekaiser,Trundle,Yasuo,Kaisa,Alistar,Darius,RekSai,Katarina,Lulu,Yuumi
1,1,0,1,0,0,0,0,0,0,-1644,-453,1418,80,-208,2171,200,Camille,Olaf,Tristana,Veigar,Brand,Jax,LeeSin,Corki,MissFortune,Thresh
2,0,1,0,0,0,0,0,0,0,2343,1639,-211,831,-135,1369,100,Renekton,MonkeyKing,Ahri,Caitlyn,Thresh,Gnar,Zac,Gwen,Ashe,Senna
1,0,0,0,0,0,0,0,0,0,-731,-85,-866,2822,1101,2031,200,Mordekaiser,Graves,Zed,Twitch,Lulu,Quinn,Shaco,Jayce,Ezreal,Nami
2,0,1,0,0,0,0,0,0,1,-1645,-436,-348,885,471,2091,200,Yorick,LeeSin,Ahri,Jhin,Nautilus,TahmKench,Rammus,Cassiopeia,Vayne,Pyke
1,1,0,0,0,0,0,2,0,0,3485,1255,-323,-1320,-753,2624,100,Darius,Volibear,Ahri,Sivir,Janna,Nocturne,Trundle,Veigar,Jinx,Senna
0,1,0,0,0,0,0,0,0,0,-1161,-1292,2692,-2708,-701,1500,100,Vayne,Zac,Yasuo,Twitch,Renata,Nasus,Nocturne,Morgana,Jinx,Thresh
1,0,0,1,0,0,0,0,0,1,-1962,1440,-1153,3513,2805,1492,100,Garen,Rammus,Malzahar,Aphelios,Lux,Volibear,XinZhao,Yasuo,Samira,Alistar
0,1,0,1,1,0,0,0,0,0,744,68,-357,-1988,241,1976,200,Yone,Shaco,Ahri,Ezreal,Karma,Camille,Evelynn,Kaisa,Ashe,Zilean
1,1,0,0,0,0,0,0,0,0,1428,511,-960,-2007,-458,1840,100,Tryndamere,Kayn,Malzahar,Jinx,Rakan,Garen,Zed,Heimerdinger,Samira,Pantheon
0,1,1,0,0,0,0,0,0,1,-476,969,-1014,441,621,1683,100,Samira,Lillia,Fizz,Kaisa,Blitzcrank,Yone,LeeSin,Talon,Ezreal,Yuumi
1,0,1,0,0,0,0,1,2,1,965,2592,451,4159,3149,1127,100,Trundle,Diana,TwistedFate,Draven,Vi,Tryndamere,Shaco,Yasuo,Zeri,Yuumi
1,0,1,0,0,0,0,0,0,0,821,653,-358,15,1596,2413,200,Jax,JarvanIV,Zed,Ezreal,Velkoz,Urgot,MasterYi,Lissandra,Kaisa,Leona
0,2,0,0,0,1,0,0,0,0,1236,-1553,-1328,-134,428,1870,200,Illaoi,Jax,Tryndamere,Ezreal,Zyra,Kayle,LeeSin,Yasuo,Jhin,Seraphine
